birth_id,child_name,parents,hospital,date
f7f35b7c-4e44-4f84-aa6b-356c9e3d9bd4,Omaja Chandran,Caleb Ganesan & Bina Chopra,5c55a46a-24b2-407f-bfe5-25ceef479ca0,2021-05-28
67ad2b9e-7335-439e-9334-3cae33c6f9dd,William Chaudhari,Sara Goel & Warinder Choudhary,8ef8f7a0-d186-49d5-ad87-f7772d7ea05d,2022-11-20
d1de9bf2-5f61-4549-985b-f239d431fea3,Raagini Dave,Yashodhara Goda & Alexander Lad,ce86aed3-3ef4-4d80-83d5-db191cc1562e,2019-12-02
af951d96-cf23-42cb-9d28-c0d7a8d811a4,Yamini Khanna,Chanakya Patla & Balveer Dhaliwal,d5f316ea-c283-4110-aa73-8ea56e648222,2019-08-16
56cead7e-cbc2-4450-b0bb-80338bc0fda3,Anamika Tata,Yatin Mani & Upma Choudhary,e202c1ae-4516-4296-acfa-f1626360c53a,2024-02-23
8e2e63d3-6c4b-4c4f-b714-cb250ba81fc1,Triya Bala,Indrajit Chaudry & Utkarsh Walla,e360a210-e95d-42f4-9f23-ce532942a854,2023-10-11
7446dab8-b1e1-49e4-9310-45759d195431,Janaki Bora,Teerth Solanki & Aarnav Menon,e202c1ae-4516-4296-acfa-f1626360c53a,2023-11-09
7ba5b1d5-1216-4fa3-aa79-f5ca7de2992c,Nilima Dhingra,Widisha Apte & Hitesh Arora,9e65c55b-0c3c-443d-b7c0-00992be60bd7,2019-08-25
4225ef7c-b496-4e0c-9283-a53304c17033,Radha Varty,Ishani Chandra & Samarth Raju,6c58f738-56af-49ca-805b-69265701edf0,2022-11-03
6f60efe5-92ae-410f-9118-f33de445d3b5,Gabriel Chahal,Isha Sarraf & Gabriel Mani,1eea9005-ca25-4b50-baad-21348e2996d4,2022-10-19
37b21cdd-d596-48ff-9508-115ed1e39f53,Bhavani Raju,Keya Gour & Falak Raval,cae5f750-f39e-4267-b9fe-ef9c63c8dd2d,2024-04-28
0b5cf7f3-a470-42d5-a18f-7ae8640fd9df,Ranbir Nair,Imaran Badal & Zayan Mutti,8ef8f7a0-d186-49d5-ad87-f7772d7ea05d,2023-01-11
80132b5a-f0c6-46f3-8210-d00ca05ee433,Girindra Oak,Gaurav Bose & Januja Sant,8ef8f7a0-d186-49d5-ad87-f7772d7ea05d,2024-10-12
893a848b-5f78-4d1b-842c-be6dc574edba,Tanmayi Rastogi,Fariq Bala & Saksham Mistry,cae5f750-f39e-4267-b9fe-ef9c63c8dd2d,2024-04-26
16803398-4ce6-468d-ad50-707d661b85e3,Liam Nazareth,Manya Hegde & Yash Ganesh,37684437-4143-42b8-a503-6033192a95b4,2019-12-26
035f849b-d193-4607-985f-c6f3a8d4f0cc,Yatan Mital,Anthony Bora & Ladli Mutti,b4717d9c-a59f-4382-9fd3-9f6c16a4da82,2024-12-10
723497b2-875d-4d6a-a0af-5407504fc023,Mohini Master,Vrinda Master & Sanaya Pai,e202c1ae-4516-4296-acfa-f1626360c53a,2022-11-22
bc980590-ad18-4eb7-b922-a632accdac76,Zayyan Bera,Inaya Mital & Qarin Sarin,8ff44ed8-18fd-4420-9564-b6714f8e926e,2023-09-19
a39eb517-5f9b-46a7-9088-94138644fefe,Dakshesh Lala,Qabil Bath & Ladli Bail,e202c1ae-4516-4296-acfa-f1626360c53a,2021-10-11
eedd26ca-b94c-4f29-b984-94239ad4ccaf,Fiyaz Arya,Jai Mani & Raagini Sinha,8ff44ed8-18fd-4420-9564-b6714f8e926e,2022-12-18
0325c14e-39e6-423d-a940-d5bdcbc38c4c,Robert Kar,Thomas Zachariah & Onveer Shah,1eea9005-ca25-4b50-baad-21348e2996d4,2022-08-31
c607e39e-7658-4cdf-ac91-1f0cb37af34e,Adya Bahl,Utkarsh Shere & Ishwar Golla,a0a162cb-c825-4e28-a4f1-94b9521e79a4,2021-01-06
a1223f08-691d-468e-a7b4-7b8cedbab534,Rayaan Karan,Aarush Kala & Gagan Dutta,1eea9005-ca25-4b50-baad-21348e2996d4,2021-06-08
6aef48fe-4649-446f-9f37-d8133f07aa94,Lipika Brar,Pallavi Wadhwa & Kiaan Kamdar,e360a210-e95d-42f4-9f23-ce532942a854,2019-11-16
8b6a7065-c17f-4d40-a1ea-3192f1378302,Yug Gaba,Dalaja Bassi & Frado Char,fb931775-c7a6-4c2e-b84d-2e07a9a8076e,2023-08-13
a61d5829-8b73-447d-bffe-5cb4e42b14a7,Qarin Dhaliwal,Alka Sridhar & Akshay Gera,5c55a46a-24b2-407f-bfe5-25ceef479ca0,2024-12-02
